Team,no_all_athlete,no_women,percen_women,,,Country name,Percentage,
Gabon,63,15,23.81,,,,,
Galatea II,3,0,0.00,,,,,
Galejan,3,0,0.00,,,,,
Galerna,3,0,0.00,,,,,
Gallant,5,0,0.00,,,,,
Gallia II,7,0,0.00,,,,,
Galopin De La Font,1,0,0.00,,,,,
Galopin-20,2,0,0.00,,,,,
Galopin-9,4,0,0.00,,,,,
Galt Football Club,13,0,0.00,,,,,
Gam II,2,0,0.00,,,,,
Gambia,56,13,23.21,,,,,
Gem,2,0,0.00,,,,,
Gem II,2,0,0.00,,,,,
Gem III,2,0,0.00,,,,,
Gem IV,2,0,0.00,,,,,
Gem VII,2,0,0.00,,,,,
Georgia,286,72,25.17,,,,,
Germania II,6,0,0.00,,,,,
"Germania Ruder Club, Hamburg",9,0,0.00,,,,,
"Germania Ruder Club, Hamburg-2",5,0,0.00,,,,,
Germany,9326,2911,31.21,,,,,
Germany-1,162,39,24.07,,,,,
Germany-2,161,39,24.22,,,,,
Germany-3,24,7,29.17,,,,,
Germany/United States,2,0,0.00,,,,,
Ghana,359,58,16.16,,,,,
Gilliatt V,3,0,0.00,,,,,
Girl Pat,3,0,0.00,,,,,
Giselle-6,2,0,0.00,,,,,
Gitana-2,10,0,0.00,,,,,
Gitana-21,5,0,0.00,,,,,
Glider,2,0,0.00,,,,,
Glisten,2,0,0.00,,,,,
Gran Gesto,1,1,100.00,,,,,
Great Britain,11404,3188,27.96,,,,,
Great Britain-1,191,37,19.37,,,,,
Great Britain-2,189,37,19.58,,,,,
Great Britain-3,18,5,27.78,,,,,
Great Britain-4,8,1,12.50,,,,,
Great Britain/Germany,2,0,0.00,,,,,
Greece,2976,643,21.61,,,,,
Greece-1,10,5,50.00,,,,,
Greece-2,10,5,50.00,,,,,
Greece-3,6,1,16.67,,,,,
Greece-4,2,1,50.00,,,,,
Greenoaks Dundee,1,0,0.00,,,,,
Grenada,54,17,31.48,,,,,
Grifo III,3,0,0.00,,,,,
Grifo IV,3,0,0.00,,,,,
Grifone,3,0,0.00,,,,,
Gteborgs Roddfrening-2,5,0,0.00,,,,,
Gteborgs Roddklubb-1,9,0,0.00,,,,,
Guam,112,27,24.11,,,,,
Guanahani,3,0,0.00,,,,,
Guatemala,425,75,17.65,,,,,
Guinea,73,15,20.55,,,,,
Guinea Bissau,21,8,38.10,,,,,
Gullvinge,3,0,0.00,,,,,
Gustel V,5,0,0.00,,,,,
Gustel X,3,0,0.00,,,,,
Gustl XI,3,0,0.00,,,,,
Guyana,102,21,20.59,,,,,
Guyoni,3,0,0.00,,,,,
Gwendoline-2,6,0,0.00,,,,,
Gwendoline-22,3,0,0.00,,,,,
GyoshuII,2,0,0.00,,,,,
Gyp-23,1,0,0.00,,,,,
Gyp-6,1,0,0.00,,,,,
Gyrinus-1,6,0,0.00,,,,,
Haiti,105,19,18.10,,,,,
Hakahana,2,0,0.00,,,,,
Hamburg,1,0,0.00,,,,,
Hannover,1,0,0.00,,,,,
Harmony,2,0,0.00,,,,,
Hatuey,3,0,0.00,,,,,
Hayama,2,0,0.00,,,,,
Hb-20,1,0,0.00,,,,,
Hb-24,1,0,0.00,,,,,
Heatherbell,7,0,0.00,,,,,
Heidelberg,1,0,0.00,,,,,
Heira II,9,0,0.00,,,,,
Helsingfors R. K.,5,0,0.00,,,,,
Hera-1,10,0,0.00,,,,,
Heroine,4,1,25.00,,,,,
Hi-Hi,4,0,0.00,,,,,
Hilarius,2,0,0.00,,,,,
Hirondelle,2,0,0.00,,,,,
Hojwa,3,0,0.00,,,,,
Holland,2,0,0.00,,,,,
